time,Vbar,soc_h_median,soc_h_lerror,soc_h_herror,soc_v_median,soc_v_lerror,soc_v_herror,sens_median,sens_lerror,sens_herror,freq_ub,freq_pb,s_mean,s_median,s_lerror,s_herror,s_ltail,s_htail,s_end_mean,s_end_median,s_end_lerror,s_end_herror,s_young_mean,s_young_median,s_young_lerror,s_young_herror,s_child_mean,s_child_median,s_child_lerror,s_child_herror,sbar,mean_increment,concentration,concentration_lerror,concentration_herror,aleph,λ,strategies,seed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,UB&PB,45069
2500,0.9665827627440735,0.10820672539796805,0.05282315992282658,0.1829819573672045,0.07776803658296864,0.036503276468883614,0.13475737719598588,0.6315188018537515,0.5321613030981762,0.7422016042509206,0.8139800995024876,0.1860199004975123,0.44716548910293097,0.4848676853285485,0.33839542945187195,0.5856269250309434,0.08209695272466534,0.6774298569100059,0.5300685765283244,0.5755669201432503,0.45330292894515695,0.6497582315986532,0.5803567031119139,0.5859739790466153,0.5413158996557766,0.6266013888623848,0.604583996212313,0.6141287064797991,0.5600967194256545,0.651665335178019,0.43507616659848375,0.7662048000753271,610.180229115719,535.0798244004679,690.0657782460537,0.05,0.0,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,UB&PB,45069
2500,0.9846502337992383,0.11443886190855096,0.056126241403752504,0.18926343582989477,0.0703174529850184,0.03166395109090895,0.12161916703316522,0.6898928320762798,0.5977623706582931,0.7830856962444891,0.7743553660270087,0.2256446339729921,0.4564688253479031,0.4956203325247459,0.3487776098026114,0.5941144047614819,0.09252783696951178,0.6834779000674146,0.5401992216094853,0.584833635335742,0.46731483165781684,0.6554654327691047,0.5884269581029468,0.5932465717217358,0.5507857739845876,0.6320882452104961,0.6047140722233337,0.613609446362711,0.5619832884107376,0.6504210031268064,0.4150675573823444,0.7341883333467367,607.9675083946734,541.2827257365849,684.6184542758073,0.1,0.0,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,UB&PB,45069
2500,1.0025194899859429,0.09875417557891544,0.046332692692783325,0.16824287612649297,0.06361355027010421,0.029307254699405125,0.11099501178029651,0.773926923921411,0.6711008504325324,0.8626581137527872,0.8085628997867804,0.19143710021321947,0.46409842989420685,0.5055158584345641,0.35652215035495755,0.6012250736268296,0.09651926347601242,0.6892597597654917,0.548734730655509,0.5938439561048697,0.48041774354629974,0.6621633428207092,0.5881256988913791,0.5931901614001136,0.549554000372775,0.632913125656906,0.6044926519512012,0.6159562311118848,0.5557340592500347,0.6545201146767032,0.4518843201658174,0.7653699344724179,597.4652931249148,541.3261286776115,667.7584484653765,0.15,0.0,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,UB&PB,45069
2500,1.0162212076204873,0.10072435885757777,0.046907380911806434,0.17520159110024766,0.07486618391014671,0.03349220607450958,0.12976093301027475,0.749460688958712,0.6496556212091589,0.8538458609780195,0.7909992892679467,0.20900071073205384,0.4735141109975934,0.5155048496576589,0.3712864148679382,0.6063309758835328,0.11149261044247936,0.6917197561168663,0.5560884928915187,0.5984026242155486,0.49191937955232057,0.6639458263408814,0.5917138412592978,0.5960047410800402,0.5538953662166739,0.6350395416028871,0.6049241048095214,0.6160740153670712,0.5571294768248987,0.6536312251108088,0.44441179777722517,0.7847345469667928,606.616626441296,545.2420525837335,681.1197991426297,0.2,0.0,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,UB&PB,45069
2500,1.0286469539635252,0.1378053513027576,0.0714184611464114,0.22994186376518433,0.0712547053647796,0.03165290838731924,0.12429636746306619,0.6367737597813339,0.5480416630909614,0.7242975637091685,0.8225294953802404,0.17747050461975827,0.49257810113216616,0.5320777703696972,0.40538230486829346,0.6110716850090175,0.15979775026989845,0.689556401103812,0.5689761010432801,0.6051213940241421,0.512257870603669,0.6648734845879936,0.5969144860007684,0.6007083367363947,0.5669432297296513,0.6310411349740073,0.6046130659887622,0.6110371159916864,0.5693318317413876,0.6438893725235979,0.4785431539498733,0.8276834661392117,619.2812823026419,553.0169891388556,700.2234160893754,0.25,0.0,UB&PB,45069
